WN18RR, _synset_domain_topic_of_WN18_generic_PPO_simple_embedding_100
([('03464757', 'NO_OP', '03464757'), ('03464757', '_hypernym', '03504420'), ('03504420', '_synset_domain_topic_of', '08199025')], '08199025')
([('03763727', '¬_has_part', '03763403'), ('03763403', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '04066476')], '08199025')
([('06736529', '_hypernym', '06479665'), ('06479665', '¬_hypernym', '06531481'), ('06531481', '_synset_domain_topic_of', '08441203')], '08441203')
([('03139089', '_hypernym', '03175604'), ('03175604', '_synset_domain_topic_of', '06047430'), ('06047430', '¬_synset_domain_topic_of', '14060929')], '06047430')
([('07094843', 'NO_OP', '07094843'), ('07094843', '_hypernym', '07094093'), ('07094093', '_synset_domain_topic_of', '06170025')], '06170025')
([('06749729', '_derivationally_related_form', '10312287'), ('10312287', '_derivationally_related_form', '06118563'), ('06118563', '¬_synset_domain_topic_of', '08590172')], '06118563')
([('01840238', '_verb_group', '01941093'), ('01941093', '¬_hypernym', '01942137'), ('01942137', '_synset_domain_topic_of', '00300441')], '00300441')
([('11492833', '_hypernym', '11409059'), ('11409059', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '13547199')], '06084469')
([('03473817', '_hypernym', '03000247'), ('03000247', '_synset_domain_topic_of', '15259284'), ('15259284', '¬_has_part', '15121406')], '15259284')
([('00237259', '¬_derivationally_related_form', '07567390'), ('07567390', '¬_derivationally_related_form', '00236999'), ('00236999', '_synset_domain_topic_of', '00243918')], '00243918')
([('02192225', '_hypernym', '02191766'), ('02191766', '_synset_domain_topic_of', '00243918'), ('00243918', '¬_derivationally_related_form', '00322847')], '00243918')
([('10314703', '_hypernym', '09886540'), ('09886540', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '00056912')], '08199025')
([('10339966', '_derivationally_related_form', '07020895'), ('07020895', '¬_hypernym', '07024929'), ('07024929', '_hypernym', '07020895')], '07020895')
([('08029784', '¬_member_meronym', '08029421'), ('08029421', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08016900')], '00759694')
([('00324560', '¬_derivationally_related_form', '00247442'), ('00247442', 'NO_OP', '00247442'), ('00247442', '_hypernym', '00243918')], '00243918')
([('06575227', '¬_hypernym', '06575681'), ('06575681', '_has_part', '07269916'), ('07269916', '_synset_domain_topic_of', '06128570')], '06128570')
([('00684273', '¬_hypernym', '00684507'), ('00684507', '_synset_domain_topic_of', '05946687'), ('05946687', '¬_synset_domain_topic_of', '10366484')], '05946687')
([('00239024', '¬_has_part', '00463543'), ('00463543', '¬_synset_domain_topic_of', '15258281'), ('15258281', 'NO_OP', '15258281')], '00463543')
([('04058239', '¬_hypernym', '03294604'), ('03294604', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '02248808')], '06128570')
([('03762982', '¬_hypernym', '03333349'), ('03333349', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '00959992')], '08199025')
([('13783581', '¬_hypernym', '13783816'), ('13783816', '¬_hypernym', '13785136'), ('13785136', '_synset_domain_topic_of', '06000644')], '06000644')
([('00127286', '¬_derivationally_related_form', '01140654'), ('01140654', '_synset_domain_topic_of', '00471613'), ('00471613', '¬_synset_domain_topic_of', '00126721')], '00471613')
([('10086821', '_hypernym', '10296176'), ('10296176', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '10317007')], '08199025')
([('01747717', '¬_derivationally_related_form', '10481268'), ('10481268', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '06637149')], '06128570')
([('08061042', '¬_hypernym', '08057816'), ('08057816', '_synset_domain_topic_of', '01094725'), ('01094725', '¬_hypernym', '00811661')], '01094725')
([('09241247', '_hypernym', '09225146'), ('09225146', '_synset_domain_topic_of', '09411430'), ('09411430', '¬_instance_hypernym', '09261138')], '09411430')
([('13263779', '_hypernym', '13262913'), ('13262913', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '13964466')], '08441203')
([('02284544', '_hypernym', '02271137'), ('02271137', '¬_derivationally_related_form', '01099436'), ('01099436', '¬_synset_domain_topic_of', '02284544')], '01099436')
([('03239259', '_hypernym', '03763968'), ('03763968', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08404895')], '08199025')
([('13341350', '_hypernym', '13286801'), ('13286801', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06545528')], '08441203')
([('06024230', 'NO_OP', '06024230'), ('06024230', '_hypernym', '06023969'), ('06023969', '_synset_domain_topic_of', '06018465')], '06018465')
([('10282014', '_derivationally_related_form', '06235829'), ('06235829', '_hypernym', '06234825'), ('06234825', '¬_synset_domain_topic_of', '03762602')], '06234825')
([('02208118', '_hypernym', '02207206'), ('02207206', '¬_hypernym', '02287041'), ('02287041', '_synset_domain_topic_of', '01090446')], '01090446')
([('02114056', '_verb_group', '02113850'), ('02113850', '_synset_domain_topic_of', '00903559'), ('00903559', '_derivationally_related_form', '02838592')], '00903559')
([('13798491', 'NO_OP', '13798491'), ('13798491', '_hypernym', '13783038'), ('13783038', '_synset_domain_topic_of', '06163751')], '06163751')
([('02935017', 'NO_OP', '02935017'), ('02935017', '_hypernym', '02911485'), ('02911485', '_synset_domain_topic_of', '06128570')], '06128570')
([('01188783', '_hypernym', '01187810'), ('01187810', '¬_hypernym', '01191975'), ('01191975', '_synset_domain_topic_of', '08441203')], '08441203')
([('10582746', '¬_hypernym', '09942275'), ('09942275', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '02867715')], '08199025')
([('08031020', '¬_member_of_domain_region', '08975902'), ('08975902', '_member_of_domain_region', '08022972'), ('08022972', '_synset_domain_topic_of', '00759694')], '00759694')
([('01970348', '¬_derivationally_related_form', '07311661'), ('07311661', '_synset_domain_topic_of', '06095022'), ('06095022', '¬_synset_domain_topic_of', '09353109')], '06095022')
([('04050600', '_hypernym', '03243218'), ('03243218', '¬_hypernym', '03209666'), ('03209666', '_synset_domain_topic_of', '06128570')], '06128570')
([('01706129', '¬_derivationally_related_form', '09809925'), ('09809925', '_hypernym', '10339966'), ('10339966', '_derivationally_related_form', '07020895')], '07020895')
([('08020785', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08042183'), ('08042183', '_synset_domain_topic_of', '00759694')], '00759694')
([('00969769', '_hypernym', '00969506'), ('00969506', '¬_derivationally_related_form', '06277280'), ('06277280', '¬_synset_domain_topic_of', '04405907')], '06277280')
([('08014202', '¬_member_of_domain_region', '08975902'), ('08975902', '_member_of_domain_region', '08030481'), ('08030481', '_synset_domain_topic_of', '00759694')], '00759694')
([('08454818', 'NO_OP', '08454818'), ('08454818', '_hypernym', '08441203'), ('08441203', '¬_synset_domain_topic_of', '10213034')], '08441203')
([('01665638', '¬_derivationally_related_form', '09963320'), ('09963320', '_derivationally_related_form', '00322847'), ('00322847', '_derivationally_related_form', '00243918')], '00243918')
([('08191701', '_hypernym', '08198137'), ('08198137', 'NO_OP', '08198137'), ('08198137', '_synset_domain_topic_of', '08199025')], '08199025')
([('01199697', '_hypernym', '01184814'), ('01184814', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '00122106')], '08441203')
([('08390157', '_hypernym', '08190754'), ('08190754', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08394922')], '08199025')
([('11409059', '¬_hypernym', '11492833'), ('11492833', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '00209174')], '06084469')
([('03648804', '¬_member_of_domain_region', '08780881'), ('08780881', '_member_of_domain_region', '07464402'), ('07464402', '_synset_domain_topic_of', '15253139')], '15253139')
([('01181902', '_hypernym', '01184814'), ('01184814', '¬_hypernym', '01199697'), ('01199697', '_synset_domain_topic_of', '08441203')], '08441203')
([('00056912', '¬_hypernym', '00057306'), ('00057306', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '02685585')], '08199025')
([('06021499', '¬_hypernym', '06022727'), ('06022727', '_synset_domain_topic_of', '06018465'), ('06018465', '¬_derivationally_related_form', '10652954')], '06018465')
([('00559555', '_hypernym', '00558883'), ('00558883', '¬_hypernym', '00559916'), ('00559916', '_synset_domain_topic_of', '00469651')], '00469651')
([('08045140', '_has_part', '08030481'), ('08030481', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08010942')], '00759694')
([('00399788', '_derivationally_related_form', '03705379'), ('03705379', '_synset_domain_topic_of', '06090869'), ('06090869', '¬_synset_domain_topic_of', '00445940')], '06090869')
([('00081509', '_hypernym', '00081072'), ('00081072', 'NO_OP', '00081072'), ('00081072', '_synset_domain_topic_of', '00612160')], '00612160')
([('13783038', '¬_hypernym', '13798491'), ('13798491', '_synset_domain_topic_of', '06163751'), ('06163751', '¬_synset_domain_topic_of', '06753550')], '06163751')
([('08198137', '¬_hypernym', '08191701'), ('08191701', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '00515791')], '08199025')
([('01501347', '_verb_group', '01500873'), ('01500873', '¬_hypernym', '01501184'), ('01501184', '_synset_domain_topic_of', '00916464')], '00916464')
([('08014202', '¬_member_of_domain_region', '08975902'), ('08975902', '_member_of_domain_region', '08026539'), ('08026539', '_synset_domain_topic_of', '00759694')], '00759694')
([('06533039', 'NO_OP', '06533039'), ('06533039', '_hypernym', '06532330'), ('06532330', '¬_has_part', '08441203')], '08441203')
([('05990089', '_has_part', '05881867'), ('05881867', '_synset_domain_topic_of', '06090869'), ('06090869', '¬_synset_domain_topic_of', '13587963')], '06090869')
([('08027920', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08014202'), ('08014202', '_synset_domain_topic_of', '00759694')], '00759694')
([('02299687', '_hypernym', '02298632'), ('02298632', '¬_hypernym', '02298998'), ('02298998', '_synset_domain_topic_of', '00092366')], '00092366')
([('01704452', '_hypernym', '01698271'), ('01698271', '_derivationally_related_form', '00929718'), ('00929718', '_derivationally_related_form', '10794014')], '00929718')
([('08042536', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08045428'), ('08045428', '_synset_domain_topic_of', '00759694')], '00759694')
([('09809538', 'NO_OP', '09809538'), ('09809538', '¬_hypernym', '10551576'), ('10551576', '_synset_domain_topic_of', '08199025')], '08199025')
([('01014821', '¬_derivationally_related_form', '06734467'), ('06734467', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06533648')], '08441203')
([('08025112', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08033194'), ('08033194', '_synset_domain_topic_of', '00759694')], '00759694')
([('06543781', '_hypernym', '06479665'), ('06479665', '¬_hypernym', '06480506'), ('06480506', '_synset_domain_topic_of', '08441203')], '08441203')
([('09251407', '_has_part', '09375223'), ('09375223', '_synset_domain_topic_of', '06095022'), ('06095022', '¬_synset_domain_topic_of', '07322341')], '06095022')
([('01633173', '_derivationally_related_form', '14873641'), ('14873641', '_hypernym', '14818238'), ('14818238', '_synset_domain_topic_of', '06084469')], '06084469')
([('01183166', '_hypernym', '01182654'), ('01182654', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_hypernym', '08454003')], '08441203')
([('07195404', '_hypernym', '07193958'), ('07193958', '¬_hypernym', '07194499'), ('07194499', '_synset_domain_topic_of', '08441203')], '08441203')
([('06731802', '_derivationally_related_form', '00981083'), ('00981083', '¬_derivationally_related_form', '05846932'), ('05846932', '_synset_domain_topic_of', '06000644')], '06000644')
([('08397675', 'NO_OP', '08397675'), ('08397675', '_hypernym', '08397255'), ('08397255', '_synset_domain_topic_of', '08199025')], '08199025')
([('00128638', '¬_hypernym', '00128976'), ('00128976', '_synset_domain_topic_of', '00471613'), ('00471613', '¬_synset_domain_topic_of', '01140654')], '00471613')
([('01040390', '_synset_domain_topic_of', '08086356'), ('08086356', '¬_synset_domain_topic_of', '09857200'), ('09857200', '_synset_domain_topic_of', '08083599')], '08083599')
([('06543536', '_hypernym', '06542830'), ('06542830', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '02221454')], '08441203')
([('10301261', 'NO_OP', '10301261'), ('10301261', '_derivationally_related_form', '06000644'), ('06000644', '¬_synset_domain_topic_of', '00740290')], '06000644')
([('09937250', '_hypernym', '09943239'), ('09943239', '¬_hypernym', '10283170'), ('10283170', '_synset_domain_topic_of', '08199025')], '08199025')
([('06544432', 'NO_OP', '06544432'), ('06544432', '_derivationally_related_form', '02465297'), ('02465297', '_synset_domain_topic_of', '08441203')], '08441203')
([('09830194', 'NO_OP', '09830194'), ('09830194', '_hypernym', '10101634'), ('10101634', '_derivationally_related_form', '00468480')], '00468480')
([('06856568', '_hypernym', '06814870'), ('06814870', '_synset_domain_topic_of', '07020895'), ('07020895', '¬_synset_domain_topic_of', '04987620')], '07020895')
([('06088995', 'NO_OP', '06088995'), ('06088995', 'NO_OP', '06088995'), ('06088995', '_hypernym', '06084469')], '06084469')
([('07029819', '_hypernym', '07029247'), ('07029247', '_synset_domain_topic_of', '07020895'), ('07020895', 'NO_OP', '07020895')], '07020895')
([('08190754', '¬_hypernym', '08215248'), ('08215248', '¬_hypernym', '08216647'), ('08216647', '_synset_domain_topic_of', '08199025')], '08199025')
([('02437148', '¬_derivationally_related_form', '04987620'), ('04987620', '_synset_domain_topic_of', '07020895'), ('07020895', '¬_derivationally_related_form', '10340312')], '07020895')
([('08041106', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08026904'), ('08026904', '_synset_domain_topic_of', '00759694')], '00759694')
([('01957529', '¬_hypernym', '01959482'), ('01959482', '_synset_domain_topic_of', '00299217'), ('00299217', '_hypernym', '00295701')], '00299217')
([('10708976', '_synset_domain_topic_of', '00475787'), ('00475787', '¬_synset_domain_topic_of', '10568200'), ('10568200', '_synset_domain_topic_of', '00471613')], '00471613')
([('15231765', '¬_has_part', '15254550'), ('15254550', '_has_part', '15231415'), ('15231415', '_synset_domain_topic_of', '06144081')], '06144081')
([('01665638', '_derivationally_related_form', '00243918'), ('00243918', 'NO_OP', '00243918'), ('00243918', '¬_synset_domain_topic_of', '00326619')], '00243918')
([('02329733', '_verb_group', '02329578'), ('02329578', 'NO_OP', '02329578'), ('02329578', '_synset_domain_topic_of', '00917211')], '00917211')
([('06021499', '¬_hypernym', '06022727'), ('06022727', '¬_hypernym', '06034611'), ('06034611', '_synset_domain_topic_of', '06018465')], '06018465')
([('00266197', '¬_hypernym', '00266391'), ('00266391', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_hypernym', '06088995')], '06084469')
