NELL-995, music_artist_genre_NELL_BASE_simple_embedding_150
([('concept_musicartist_allman_brothers', 'concept:musicartistgenre', 'concept_musicgenre_southern_rock'), ('concept_musicgenre_southern_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_grunge')], 'concept_musicgenre_rock')
([('concept_musicartist_bathory', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_nu_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_iced_earth', 'concept:musicartistgenre', 'concept_musicgenre_power_metal'), ('concept_musicgenre_power_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_thrash_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_the_clash', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_art_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_fourplay', 'concept:musicartistgenre', 'concept_musicgenre_contemporary_jazz'), ('concept_musicgenre_contemporary_jazz', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_jazz'), ('concept_musicgenre_jazz', 'concept:atlocation', 'concept_county_salt_lake')], 'concept_musicgenre_jazz')
([('concept_musicartist_guns_n__roses', '¬concept:musicianinmusicartist', 'concept_musician_axl_rose'), ('concept_musician_axl_rose', 'concept:musicianinmusicartist', 'concept_musicartist_guns_n_roses'), ('concept_musicartist_guns_n_roses', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_bloc_party', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_singer_songwriter')], 'concept_musicgenre_rock')
([('concept_musicartist_dissection', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'NO_OP', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_marilyn_manson', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_blue_cheer')], 'concept_musicgenre_rock')
([('concept_musicartist_zepplin', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_folk')], 'concept_musicgenre_rock')
([('concept_musicartist_cure', 'concept:musicartistgenre', 'concept_musicgenre_wave'), ('concept_musicgenre_wave', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_doobie_brothers')], 'concept_musicgenre_rock')
([('concept_musicartist_misfits', 'concept:musicartistgenre', 'concept_musicgenre_horror_punk'), ('concept_musicgenre_horror_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_third_day', 'concept:musicartistgenre', 'concept_musicgenre_christian_rock'), ('concept_musicgenre_christian_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_synth_pop')], 'concept_musicgenre_rock')
([('concept_musicartist_genesis', 'concept:musicartistgenre', 'concept_musicgenre_prog'), ('concept_musicgenre_prog', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_progressive_rock'), ('concept_musicgenre_progressive_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_progressive_metal')], 'concept_musicgenre_progressive_rock')
([('concept_musicartist_pantera', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hard_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_husker_du', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_incubus')], 'concept_musicgenre_rock')
([('concept_musicartist_beatles', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_cure')], 'concept_musicgenre_rock')
([('concept_musicartist_the_clash', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_punk')
([('concept_musicartist_beatles', 'concept:musicartistgenre', 'concept_musicgenre_classic_pop'), ('concept_musicgenre_classic_pop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_classic_rock')
([('concept_musicartist_bee_gees', 'concept:musicartistgenre', 'concept_musicgenre_disco'), ('concept_musicgenre_disco', 'NO_OP', 'concept_musicgenre_disco'), ('concept_musicgenre_disco', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop')], 'concept_musicgenre_pop')
([('concept_musicartist_beach_boys', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_soul'), ('concept_musicgenre_soul', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_husker_du', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_jimmy_eat_world', 'concept:musicartistgenre', 'concept_musicgenre_emo'), ('concept_musicgenre_emo', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_british_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_incubus', 'concept:musicartistgenre', 'concept_musicgenre_alternative'), ('concept_musicgenre_alternative', '¬concept:musicartistgenre', 'concept_musicartist_pixies'), ('concept_musicartist_pixies', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_rush', 'concept:musicartistgenre', 'concept_musicgenre_prog'), ('concept_musicgenre_prog', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop')], 'concept_musicgenre_rock')
([('concept_musicartist_iron_maiden', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_evergrey')], 'concept_musicgenre_metal')
([('concept_musicartist_incubus', 'concept:musicartistgenre', 'concept_musicgenre_alternative'), ('concept_musicgenre_alternative', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_garage_punk')], 'concept_musicgenre_rock')
([('concept_musicartist_devo', 'concept:musicartistgenre', 'concept_musicgenre_new_wave'), ('concept_musicgenre_new_wave', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_soul')], 'concept_musicgenre_rock')
([('concept_musicartist_modest_mouse', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_southern_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_blind_guardian', 'concept:musicartistgenre', 'concept_musicgenre_power_metal'), ('concept_musicgenre_power_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_disturbed')], 'concept_musicgenre_metal')
([('concept_musicartist_dream_theater', 'concept:musicartistgenre', 'concept_musicgenre_progressive_metal'), ('concept_musicgenre_progressive_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_prog'), ('concept_musicgenre_prog', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_progressive_rock')], 'concept_musicgenre_progressive_rock')
([('concept_musicartist_immortal', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_melvins')], 'concept_musicgenre_metal')
([('concept_musicartist_dark_funeral', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_queensryche')], 'concept_musicgenre_metal')
([('concept_musicartist_the_ramones', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_classic_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_abba', 'concept:musicartistgenre', 'concept_musicgenre_swedish_pop'), ('concept_musicgenre_swedish_pop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop_punk')], 'concept_musicgenre_pop')
([('concept_musicartist_keane', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_no_doubt')], 'concept_musicgenre_rock')
([('concept_musicartist_killers', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_prince')], 'concept_musicgenre_rock')
([('concept_musicartist_low', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_finnish_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_velvet_revolver', 'concept:musicartistgenre', 'concept_musicgenre_hard_rock'), ('concept_musicgenre_hard_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_the_kinks')], 'concept_musicgenre_rock')
([('concept_musicartist_bon_jovi', 'concept:musicartistgenre', 'concept_musicgenre_hard_rock'), ('concept_musicgenre_hard_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_blue_cheer')], 'concept_musicgenre_rock')
([('concept_musicartist_oasis', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_prog_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_dark_funeral', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_crass', 'concept:musicartistgenre', 'concept_musicgenre_anarchist_punk'), ('concept_musicgenre_anarchist_punk', 'NO_OP', 'concept_musicgenre_anarchist_punk'), ('concept_musicgenre_anarchist_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_incubus', 'concept:musicartistgenre', 'concept_musicgenre_alternative'), ('concept_musicgenre_alternative', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_folk')], 'concept_musicgenre_rock')
([('concept_musicartist_byrds', 'concept:musicartistgenre', 'concept_musicgenre_folk_rock'), ('concept_musicgenre_folk_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_british_folk'), ('concept_musicgenre_british_folk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_folk')], 'concept_musicgenre_folk')
([('concept_musicartist_watain', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hard_rock')], 'concept_musicgenre_metal')
([('concept_musicartist_strokes', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', '¬concept:musicartistgenre', 'concept_musicartist_decemberists')], 'concept_musicgenre_indie')
([('concept_musicartist_dimmu_borgir', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_linkin_park')], 'concept_musicgenre_metal')
([('concept_musicartist_franz_ferdinand', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_british_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_black_sabbath', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_british_metal'), ('concept_musicgenre_british_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_emperor', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_pantera')], 'concept_musicgenre_metal')
([('concept_musicartist_fourplay', 'concept:musicartistgenre', 'concept_musicgenre_contemporary_jazz'), ('concept_musicgenre_contemporary_jazz', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_jazz'), ('concept_musicgenre_jazz', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_jazz')
([('concept_musicartist_ac_dc', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_post_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_bad_brains', 'concept:musicartistgenre', 'concept_musicgenre_hardcore_punk'), ('concept_musicgenre_hardcore_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicartistgenre', 'concept_musicartist_anti_flag')], 'concept_musicgenre_punk')
